"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\Biblioteca-main\metricas.php", "PHP", 222, 18, 40, 280
"c:\xampp\htdocs\Biblioteca-main\partials\header.php", "PHP", 9, 0, 0, 9
"Total", "-", 231, 18, 40, 289
